time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.122	6.200	1150	7754.53	686.803	1015.89	809.009	0.75663	0.24337	0.508383	0.466888	0.0247295	1	0
0.123	6.200	1150	7772.72	686.802	1015.89	809.009	0.750114	0.249886	0.507583	0.467574	0.0248438	1	0
0.124	6.200	1150	7927.65	686.798	1015.89	809.009	0.745656	0.254344	0.505716	0.468945	0.0253391	1	0
0.125	6.200	1150	8082.1	686.795	1015.89	809.009	0.747257	0.252743	0.504763	0.469326	0.0259107	1	0
0.126	6.200	1150	8157.53	686.793	1015.9	809.009	0.75	0.25	0.50301	0.470927	0.0260631	1	0
0.127	6.200	1150	8048.23	686.796	1015.89	809.009	0.751829	0.248171	0.502743	0.471574	0.0256821	1	0
0.128	6.200	1150	8080.72	686.794	1015.89	809.009	0.748743	0.251257	0.501562	0.472527	0.0259107	1	0
0.129	6.200	1150	8140.33	686.792	1015.89	809.009	0.749543	0.250457	0.500686	0.473137	0.0261774	1	0
0.13	6.200	1150	8195.85	686.791	1015.9	809.009	0.743941	0.256059	0.498743	0.474889	0.0263679	1	0
0.131	6.200	1150	8150.23	686.792	1015.9	809.009	0.747485	0.252515	0.498171	0.475537	0.0262917	1	0
0.132	6.200	1150	8247.3	686.79	1015.9	809.01	0.754687	0.245313	0.497066	0.476261	0.0266728	1	0
0.133	6.200	1150	8343.93	686.787	1015.9	809.01	0.755601	0.244399	0.496494	0.476452	0.0270538	1	0
0.134	6.200	1150	8407.83	686.786	1015.9	809.01	0.754801	0.245199	0.495275	0.477404	0.0273205	1	0
0.135	6.200	1150	8564.16	686.782	1015.9	809.01	0.749086	0.250914	0.495466	0.47668	0.027854	1	0
0.136	6.200	1150	8662.14	686.78	1015.9	809.01	0.753086	0.246914	0.493446	0.478395	0.0281588	1	0
0.137	6.200	1150	8715.5	686.778	1015.9	809.01	0.749657	0.250343	0.492989	0.478776	0.028235	1	0
0.138	6.200	1150	8638.97	686.781	1015.9	809.01	0.750686	0.249314	0.491122	0.480948	0.0279302	1	0
0.139	6.200	1150	8708.22	686.778	1015.9	809.01	0.742913	0.257087	0.490665	0.481062	0.0282731	1	0
0.14	6.200	1150	8926.94	686.773	1015.9	809.01	0.738226	0.261774	0.489788	0.481139	0.0290733	1	0
0.141	6.200	1150	9076.4	686.769	1015.9	809.01	0.734111	0.265889	0.488226	0.482205	0.0295687	1	0
0.142	6.200	1150	9151.54	686.768	1015.9	809.011	0.730796	0.269204	0.487502	0.482739	0.0297592	1	0
0.143	6.200	1150	9211.04	686.766	1015.9	809.011	0.728967	0.271033	0.486816	0.483234	0.0299497	1	0
0.144	6.200	1150	9402.78	686.762	1015.9	809.011	0.729995	0.270005	0.484987	0.484377	0.0306356	1	0
0.145	6.200	1150	9333.05	686.764	1015.9	809.011	0.72931	0.27069	0.484149	0.485444	0.030407	1	0
0.146	6.200	1150	9530.47	686.759	1015.9	809.011	0.724737	0.275263	0.484187	0.484606	0.0312071	1	0
0.147	6.200	1150	9639.79	686.756	1015.9	809.011	0.723022	0.276978	0.48312	0.485216	0.0316644	1	0
0.148	6.200	1150	9670.31	686.755	1015.9	809.011	0.721994	0.278006	0.48171	0.486511	0.0317787	1	0
0.149	6.200	1150	9734.59	686.754	1015.9	809.011	0.718793	0.281207	0.480491	0.48754	0.0319692	1	0
0.15	6.200	1150	9739.21	686.754	1015.9	809.011	0.716278	0.283722	0.480034	0.488073	0.031893	1	0
