time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.214	4.500	950	12245.1	1852.84	0	1015.9	809.018	0.255389	0.744611	0.881088	0.0900728	0.0288387	1	0
0.215	4.500	950	12282.9	1852.84	0	1015.9	809.018	0.255245	0.744755	0.880546	0.090543	0.0289111	1	0
0.216	4.500	950	12161.7	1852.85	0	1015.9	809.018	0.257921	0.742079	0.879702	0.0917366	0.0285614	1	0
0.217	4.500	950	12050.5	1852.86	0	1015.9	809.017	0.253545	0.746455	0.879123	0.0926046	0.0282721	1	0
0.218	4.500	950	12021.6	1852.87	0	1015.9	809.017	0.253436	0.746564	0.879606	0.0921586	0.0282359	1	0
0.219	4.500	950	12137	1852.86	0	1015.9	809.018	0.257812	0.742188	0.878858	0.0925805	0.0285614	1	0
0.22	4.500	950	12143.2	1852.85	0	1015.9	809.018	0.256293	0.743707	0.878882	0.0926046	0.0285132	1	0
0.221	4.500	950	12167.9	1852.85	0	1015.9	809.018	0.258066	0.741934	0.878303	0.0930266	0.0286699	1	0
0.222	4.500	950	12246.6	1852.84	0	1015.9	809.018	0.259476	0.740524	0.8784	0.0926649	0.0289352	1	0
0.223	4.500	950	12204.7	1852.85	0	1015.9	809.018	0.261755	0.738245	0.878665	0.0924841	0.0288508	1	0
0.224	4.500	950	12112.2	1852.86	0	1015.9	809.017	0.259512	0.740488	0.878967	0.0924359	0.0285976	1	0
0.225	4.500	950	12188.1	1852.85	0	1015.9	809.018	0.25944	0.74056	0.879147	0.0919898	0.0288628	1	0
0.226	4.500	950	12181.5	1852.85	0	1015.9	809.018	0.257523	0.742477	0.878725	0.0924479	0.0288267	1	0
