time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.142	4.500	950	36495.6	1850.14	0	1015.95	809.047	0.162551	0.837449	0.150892	0.751372	0.0977366	0.981481	0.0185185
0.143	4.500	950	36699	1850.13	0	1015.95	809.047	0.16358	0.83642	0.144719	0.757545	0.0977366	0.985185	0.0148148
0.144	4.500	950	37148.1	1850.11	0	1015.95	809.047	0.162551	0.837449	0.158436	0.743141	0.0984225	0.981481	0.0185185
0.145	4.500	950	36599.8	1850.12	0	1015.95	809.047	0.165638	0.834362	0.141975	0.76166	0.0963649	0.981481	0.0185185
0.146	4.500	950	37425	1850.06	0	1015.95	809.048	0.17284	0.82716	0.139232	0.762689	0.0980796	0.988889	0.0111111
0.147	4.500	950	37521.4	1850.01	0	1015.95	809.048	0.171811	0.828189	0.145405	0.755144	0.0994513	0.988889	0.0111111
0.148	4.500	950	37486.4	1850	0	1015.95	809.049	0.180041	0.819959	0.138546	0.762003	0.0994513	0.985185	0.0148148
0.149	4.500	950	37577	1849.95	0	1015.95	809.049	0.157407	0.842593	0.139232	0.761317	0.0994513	0.985185	0.0148148
0.15	4.500	950	37231.3	1850.05	0	1015.95	809.048	0.156379	0.843621	0.133059	0.76749	0.0994513	0.985185	0.0148148
0.151	4.500	950	36558.6	1850.15	0	1015.95	809.047	0.139918	0.860082	0.148148	0.753772	0.0980796	0.988889	0.0111111
0.152	4.500	950	36860.2	1850.12	0	1015.95	809.047	0.153292	0.846708	0.143347	0.757545	0.0991084	0.992593	0.00740741
0.153	4.500	950	37152.7	1850.05	0	1015.95	809.048	0.175926	0.824074	0.143347	0.756859	0.0997942	0.992593	0.00740741
0.154	4.500	950	37047.8	1850.11	0	1015.95	809.047	0.177984	0.822016	0.154321	0.745885	0.0997942	0.996296	0.0037037
0.155	4.500	950	36685.7	1850.11	0	1015.95	809.047	0.165638	0.834362	0.14952	0.752401	0.0980796	0.996296	0.0037037
0.156	4.500	950	36749	1850.1	0	1015.95	809.048	0.161523	0.838477	0.151578	0.750686	0.0977366	0.992593	0.00740741
0.157	4.500	950	37790.4	1849.96	0	1015.95	809.049	0.174897	0.825103	0.135117	0.762689	0.102195	0.988889	0.0111111
0.158	4.500	950	38281.4	1849.92	0	1015.95	809.05	0.167695	0.832305	0.12963	0.76749	0.102881	0.985185	0.0148148
0.159	4.500	950	38633.2	1849.9	0	1015.95	809.05	0.154321	0.845679	0.126886	0.76989	0.103224	0.985185	0.0148148
0.16	4.500	950	39302.9	1849.82	0	1015.96	809.051	0.170782	0.829218	0.132373	0.763032	0.104595	0.985185	0.0148148
0.161	4.500	950	38756.1	1849.89	0	1015.95	809.05	0.161523	0.838477	0.141289	0.755487	0.103224	0.985185	0.0148148
0.162	4.500	950	39786	1849.8	0	1015.96	809.051	0.166667	0.833333	0.131001	0.762689	0.10631	0.992593	0.00740741
0.163	4.500	950	39676.7	1849.77	0	1015.96	809.051	0.160494	0.839506	0.138546	0.756173	0.105281	0.988889	0.0111111
0.164	4.500	950	40201.4	1849.67	0	1015.96	809.052	0.160494	0.839506	0.131001	0.762346	0.106653	0.992593	0.00740741
0.165	4.500	950	40781.1	1849.58	0	1015.96	809.054	0.161523	0.838477	0.128944	0.76166	0.109396	0.985185	0.0148148
0.166	4.500	950	41708.4	1849.47	0	1015.96	809.055	0.156379	0.843621	0.127572	0.760631	0.111797	0.988889	0.0111111
0.167	4.500	950	39839.5	1849.74	0	1015.96	809.052	0.167695	0.832305	0.132373	0.760631	0.106996	0.985185	0.0148148
0.168	4.500	950	39693.4	1849.73	0	1015.96	809.052	0.158436	0.841564	0.136488	0.756859	0.106653	0.977778	0.0222222
0.169	4.500	950	39597.8	1849.71	0	1015.96	809.052	0.160494	0.839506	0.128258	0.764746	0.106996	0.974074	0.0259259
0.17	4.500	950	39672.9	1849.73	0	1015.96	809.052	0.169753	0.830247	0.1262	0.766461	0.107339	0.977778	0.0222222
0.171	4.500	950	39979.1	1849.69	0	1015.96	809.052	0.169753	0.830247	0.120027	0.770919	0.109053	0.977778	0.0222222
0.172	4.500	950	38901.4	1849.82	0	1015.95	809.051	0.17284	0.82716	0.127572	0.766804	0.105624	0.974074	0.0259259
0.173	4.500	950	38687.4	1849.79	0	1015.95	809.051	0.166667	0.833333	0.144719	0.75	0.105281	0.974074	0.0259259
0.174	4.500	950	38008.5	1849.86	0	1015.95	809.051	0.165638	0.834362	0.146776	0.749314	0.103909	0.97037	0.0296296
0.175	4.500	950	38768.4	1849.81	0	1015.95	809.051	0.164609	0.835391	0.157064	0.737654	0.105281	0.974074	0.0259259
0.176	4.500	950	39231.2	1849.78	0	1015.95	809.051	0.161523	0.838477	0.148834	0.744856	0.10631	0.974074	0.0259259
0.177	4.500	950	39160.3	1849.84	0	1015.96	809.05	0.162551	0.837449	0.139918	0.755144	0.104938	0.977778	0.0222222
0.178	4.500	950	40388.5	1849.71	0	1015.96	809.052	0.159465	0.840535	0.140604	0.751715	0.107682	0.977778	0.0222222
0.179	4.500	950	39630.3	1849.82	0	1015.96	809.05	0.162551	0.837449	0.145405	0.748971	0.105624	0.977778	0.0222222
0.18	4.500	950	39611.6	1849.85	0	1015.96	809.05	0.151235	0.848765	0.134431	0.759945	0.105624	0.977778	0.0222222
0.181	4.500	950	39351.9	1849.94	0	1015.96	809.049	0.159465	0.840535	0.13786	0.757202	0.104938	0.977778	0.0222222
0.182	4.500	950	38502.3	1849.98	0	1015.96	809.049	0.164609	0.835391	0.150206	0.747257	0.102538	0.977778	0.0222222
0.183	4.500	950	37954.8	1850.04	0	1015.95	809.048	0.15535	0.84465	0.152263	0.746914	0.100823	0.977778	0.0222222
0.184	4.500	950	38936.5	1849.92	0	1015.96	809.049	0.150206	0.849794	0.165981	0.730453	0.103567	0.974074	0.0259259
0.185	4.500	950	39024.8	1849.97	0	1015.96	809.048	0.146091	0.853909	0.147462	0.748971	0.103567	0.974074	0.0259259
0.186	4.500	950	38888.3	1849.99	0	1015.96	809.048	0.176955	0.823045	0.150892	0.746228	0.102881	0.977778	0.0222222
0.187	4.500	950	38207.5	1850.08	0	1015.96	809.047	0.176955	0.823045	0.155693	0.742455	0.101852	0.974074	0.0259259
0.188	4.500	950	37191	1850.2	0	1015.95	809.046	0.165638	0.834362	0.14952	0.751715	0.0987654	0.97037	0.0296296
0.189	4.500	950	36035.6	1850.32	0	1015.95	809.045	0.168724	0.831276	0.166667	0.736626	0.0967078	0.974074	0.0259259
0.19	4.500	950	35997.7	1850.32	0	1015.95	809.045	0.164609	0.835391	0.160494	0.743141	0.0963649	0.97037	0.0296296
0.191	4.500	950	35960.4	1850.39	0	1015.95	809.043	0.153292	0.846708	0.158436	0.745542	0.0960219	0.97037	0.0296296
0.192	4.500	950	37493.6	1850.19	0	1015.96	809.046	0.16358	0.83642	0.159122	0.740741	0.100137	0.97037	0.0296296
0.193	4.500	950	37573.9	1850.14	0	1015.95	809.047	0.157407	0.842593	0.15775	0.740741	0.101509	0.977778	0.0222222
0.194	4.500	950	39195.7	1850	0	1015.96	809.048	0.157407	0.842593	0.155693	0.737311	0.106996	0.977778	0.0222222
0.195	4.500	950	39505.7	1849.91	0	1015.96	809.049	0.162551	0.837449	0.156379	0.734911	0.108711	0.977778	0.0222222
0.196	4.500	950	37840.5	1850.12	0	1015.96	809.047	0.160494	0.839506	0.152263	0.743141	0.104595	0.977778	0.0222222
0.197	4.500	950	36933.9	1850.17	0	1015.95	809.046	0.164609	0.835391	0.141289	0.756859	0.101852	0.985185	0.0148148
0.198	4.500	950	36401.9	1850.26	0	1015.95	809.045	0.168724	0.831276	0.133745	0.766461	0.0997942	0.977778	0.0222222
0.199	4.500	950	36905.8	1850.14	0	1015.95	809.047	0.169753	0.830247	0.139232	0.760631	0.100137	0.977778	0.0222222
0.2	4.500	950	36595.3	1850.23	0	1015.95	809.046	0.157407	0.842593	0.137174	0.763032	0.0997942	0.981481	0.0185185
0.201	4.500	950	36370.7	1850.24	0	1015.95	809.046	0.174897	0.825103	0.130316	0.76989	0.0997942	0.981481	0.0185185
0.202	4.500	950	35336.6	1850.31	0	1015.95	809.045	0.187243	0.812757	0.139918	0.763374	0.0967078	0.985185	0.0148148
0.203	4.500	950	34915	1850.41	0	1015.95	809.044	0.186214	0.813786	0.138546	0.766461	0.0949931	0.985185	0.0148148
0.204	4.500	950	35227.8	1850.39	0	1015.95	809.044	0.191358	0.808642	0.163923	0.741427	0.0946502	0.977778	0.0222222
0.205	4.500	950	35662.9	1850.34	0	1015.95	809.045	0.1893	0.8107	0.155007	0.749314	0.095679	0.974074	0.0259259
0.206	4.500	950	36141.6	1850.26	0	1015.95	809.045	0.176955	0.823045	0.160494	0.742455	0.0970508	0.97037	0.0296296
0.207	4.500	950	35672.6	1850.28	0	1015.95	809.045	0.175926	0.824074	0.155693	0.748628	0.095679	0.97037	0.0296296
0.208	4.500	950	35555.5	1850.33	0	1015.95	809.045	0.166667	0.833333	0.161866	0.741427	0.0967078	0.974074	0.0259259
0.209	4.500	950	35376.9	1850.37	0	1015.95	809.044	0.160494	0.839506	0.159122	0.74417	0.0967078	0.974074	0.0259259
0.21	4.500	950	34403.7	1850.49	0	1015.95	809.043	0.174897	0.825103	0.146776	0.759602	0.0936214	0.97037	0.0296296
0.211	4.500	950	34965.3	1850.47	0	1015.95	809.043	0.184156	0.815844	0.162551	0.742798	0.0946502	0.966667	0.0333333
0.212	4.500	950	36062	1850.32	0	1015.95	809.045	0.158436	0.841564	0.159122	0.743141	0.0977366	0.955556	0.0444444
0.213	4.500	950	37235.8	1850.16	0	1015.95	809.046	0.157407	0.842593	0.168724	0.730453	0.100823	0.955556	0.0444444
